model,layer,item,speaker_mode,context_mode,distance_mode,feature_size,score
hubert_base,12,phoneme-dev-other,within,within,cosine,0.02,0.0338721573352813
hubert_base,12,triphone-dev-clean,across,within,cosine,0.02,0.040769912302494
hubert_base,12,triphone-dev-clean,within,within,cosine,0.02,0.0338068157434463
hubert_base,12,triphone-dev-other,across,within,cosine,0.02,0.0682407915592193
hubert_base,12,triphone-dev-other,within,within,cosine,0.02,0.0441422462463378
hubert_base_onehot,11,phoneme-dev-clean,across,any,cosine,0.02,0.2930669486522674
hubert_base_onehot,11,phoneme-dev-clean,across,within,cosine,0.02,0.1014447212219238
hubert_base_onehot,11,phoneme-dev-clean,within,any,cosine,0.02,0.2818932831287384
hubert_base_onehot,11,phoneme-dev-clean,within,within,cosine,0.02,0.0846430212259292
hubert_base_onehot,11,phoneme-dev-other,across,any,cosine,0.02,0.322538822889328
hubert_base_onehot,11,phoneme-dev-other,across,within,cosine,0.02,0.1738546937704086
hubert_base_onehot,11,phoneme-dev-other,within,any,cosine,0.02,0.3024415075778961
hubert_base_onehot,11,phoneme-dev-other,within,within,cosine,0.02,0.1293514817953109
hubert_base_onehot,11,triphone-dev-clean,across,within,cosine,0.02,0.0677422285079956
hubert_base_onehot,11,triphone-dev-clean,within,within,cosine,0.02,0.0569264739751815
hubert_base_onehot,11,triphone-dev-other,across,within,cosine,0.02,0.1116754859685897
hubert_base_onehot,11,triphone-dev-other,within,within,cosine,0.02,0.0761253759264946
hubert_ctc100h,1,phoneme-dev-clean,across,any,cosine,0.02,0.1328623294830322
hubert_ctc100h,1,phoneme-dev-clean,across,within,cosine,0.02,0.0589370690286159
hubert_ctc100h,1,phoneme-dev-clean,within,any,cosine,0.02,0.1140387952327728
hubert_ctc100h,1,phoneme-dev-clean,within,within,cosine,0.02,0.036417543888092
hubert_ctc100h,1,phoneme-dev-other,across,any,cosine,0.02,0.1756489723920822
hubert_ctc100h,1,phoneme-dev-other,across,within,cosine,0.02,0.1130436956882476
hubert_ctc100h,1,phoneme-dev-other,within,any,cosine,0.02,0.142818808555603
hubert_ctc100h,1,phoneme-dev-other,within,within,cosine,0.02,0.059874802827835
hubert_ctc100h,1,triphone-dev-clean,across,within,cosine,0.02,0.0988853573799133
hubert_ctc100h,1,triphone-dev-clean,within,within,cosine,0.02,0.0649180486798286
hubert_ctc100h,1,triphone-dev-other,across,within,cosine,0.02,0.1522159874439239
hubert_ctc100h,1,triphone-dev-other,within,within,cosine,0.02,0.0849288925528526
hubert_ctc100h,2,phoneme-dev-clean,across,any,cosine,0.02,0.1201329380273819
hubert_ctc100h,2,phoneme-dev-clean,across,within,cosine,0.02,0.0493984520435333
hubert_ctc100h,2,phoneme-dev-clean,within,any,cosine,0.02,0.1067850440740585
hubert_ctc100h,2,phoneme-dev-clean,within,within,cosine,0.02,0.0331890359520912
hubert_ctc100h,2,phoneme-dev-other,across,any,cosine,0.02,0.1607713550329208
hubert_ctc100h,2,phoneme-dev-other,across,within,cosine,0.02,0.0982902944087982
hubert_ctc100h,2,phoneme-dev-other,within,any,cosine,0.02,0.1346155554056167
hubert_ctc100h,2,phoneme-dev-other,within,within,cosine,0.02,0.0560017228126525
hubert_ctc100h,2,triphone-dev-clean,across,within,cosine,0.02,0.0863376185297966
hubert_ctc100h,2,triphone-dev-clean,within,within,cosine,0.02,0.0596642270684242
hubert_ctc100h,2,triphone-dev-other,across,within,cosine,0.02,0.1367146521806717
hubert_ctc100h,2,triphone-dev-other,within,within,cosine,0.02,0.0790690779685974
hubert_ctc100h,3,phoneme-dev-clean,across,any,cosine,0.02,0.1100706830620765
hubert_ctc100h,3,phoneme-dev-clean,across,within,cosine,0.02,0.042343471199274
hubert_ctc100h,3,phoneme-dev-clean,within,any,cosine,0.02,0.1000878512859344
hubert_ctc100h,3,phoneme-dev-clean,within,within,cosine,0.02,0.0307885836809873
hubert_ctc100h,3,phoneme-dev-other,across,any,cosine,0.02,0.1485714614391327
hubert_ctc100h,3,phoneme-dev-other,across,within,cosine,0.02,0.0885833352804184
hubert_ctc100h,3,phoneme-dev-other,within,any,cosine,0.02,0.127047911286354
hubert_ctc100h,3,phoneme-dev-other,within,within,cosine,0.02,0.0513393394649028
hubert_ctc100h,3,triphone-dev-clean,across,within,cosine,0.02,0.0753813162446022
hubert_ctc100h,3,triphone-dev-clean,within,within,cosine,0.02,0.054217979311943
hubert_ctc100h,3,triphone-dev-other,across,within,cosine,0.02,0.1223369091749191
hubert_ctc100h,3,triphone-dev-other,within,within,cosine,0.02,0.0724401324987411
hubert_ctc100h,4,phoneme-dev-clean,across,any,cosine,0.02,0.1020210981369018
hubert_ctc100h,4,phoneme-dev-clean,across,within,cosine,0.02,0.038219504058361
hubert_ctc100h,4,phoneme-dev-clean,within,any,cosine,0.02,0.0936880484223365
hubert_ctc100h,4,phoneme-dev-clean,within,within,cosine,0.02,0.0277342405170202
hubert_ctc100h,4,phoneme-dev-other,across,any,cosine,0.02,0.1383897960186004
hubert_ctc100h,4,phoneme-dev-other,across,within,cosine,0.02,0.0810689553618431
hubert_ctc100h,4,phoneme-dev-other,within,any,cosine,0.02,0.1194827631115913
hubert_ctc100h,4,phoneme-dev-other,within,within,cosine,0.02,0.0464727319777011
hubert_ctc100h,4,triphone-dev-clean,across,within,cosine,0.02,0.0684673115611076
hubert_ctc100h,4,triphone-dev-clean,within,within,cosine,0.02,0.0512599907815456
hubert_ctc100h,4,triphone-dev-other,across,within,cosine,0.02,0.1125506162643432
hubert_ctc100h,4,triphone-dev-other,within,within,cosine,0.02,0.0682683587074279
hubert_ctc100h,5,phoneme-dev-clean,across,any,cosine,0.02,0.0928697362542152
hubert_ctc100h,5,phoneme-dev-clean,across,within,cosine,0.02,0.032266266644001
hubert_ctc100h,5,phoneme-dev-clean,within,any,cosine,0.02,0.0867434963583946
hubert_ctc100h,5,phoneme-dev-clean,within,within,cosine,0.02,0.0235055182129144
hubert_ctc100h,5,phoneme-dev-other,across,any,cosine,0.02,0.1258577853441238
hubert_ctc100h,5,phoneme-dev-other,across,within,cosine,0.02,0.0709123983979225
hubert_ctc100h,5,phoneme-dev-other,within,any,cosine,0.02,0.1100749894976615
hubert_ctc100h,5,phoneme-dev-other,within,within,cosine,0.02,0.0410302728414535
hubert_ctc100h,5,triphone-dev-clean,across,within,cosine,0.02,0.0562011413276195
hubert_ctc100h,5,triphone-dev-clean,within,within,cosine,0.02,0.0442585907876491
hubert_ctc100h,5,triphone-dev-other,across,within,cosine,0.02,0.0951138660311698
hubert_ctc100h,5,triphone-dev-other,within,within,cosine,0.02,0.0590158402919769
hubert_ctc100h,6,phoneme-dev-clean,across,any,cosine,0.02,0.0852680727839469
hubert_ctc100h,6,phoneme-dev-clean,across,within,cosine,0.02,0.0266718603670597
hubert_ctc100h,6,phoneme-dev-clean,within,any,cosine,0.02,0.0809662267565727
hubert_ctc100h,6,phoneme-dev-clean,within,within,cosine,0.02,0.0202804375439882
hubert_ctc100h,6,phoneme-dev-other,across,any,cosine,0.02,0.1157392710447311
hubert_ctc100h,6,phoneme-dev-other,across,within,cosine,0.02,0.0613819994032382
hubert_ctc100h,6,phoneme-dev-other,within,any,cosine,0.02,0.1031715273857116
hubert_ctc100h,6,phoneme-dev-other,within,within,cosine,0.02,0.0370288603007793
hubert_ctc100h,6,triphone-dev-clean,across,within,cosine,0.02,0.0471881031990051
hubert_ctc100h,6,triphone-dev-clean,within,within,cosine,0.02,0.0393254607915878
hubert_ctc100h,6,triphone-dev-other,across,within,cosine,0.02,0.0797901898622512
hubert_ctc100h,6,triphone-dev-other,within,within,cosine,0.02,0.0521395206451416
hubert_ctc100h,7,phoneme-dev-clean,across,any,cosine,0.02,0.0817339271306991
hubert_ctc100h,7,phoneme-dev-clean,across,within,cosine,0.02,0.0220661237835884
hubert_ctc100h,7,phoneme-dev-clean,within,any,cosine,0.02,0.0787744745612144
hubert_ctc100h,7,phoneme-dev-clean,within,within,cosine,0.02,0.0181194934993982
hubert_ctc100h,7,phoneme-dev-other,across,any,cosine,0.02,0.1073579043149948
hubert_ctc100h,7,phoneme-dev-other,across,within,cosine,0.02,0.0520851202309131
hubert_ctc100h,7,phoneme-dev-other,within,any,cosine,0.02,0.0979934856295585
hubert_ctc100h,7,phoneme-dev-other,within,within,cosine,0.02,0.0335041508078575
hubert_ctc100h,7,triphone-dev-clean,across,within,cosine,0.02,0.0403623916208744
hubert_ctc100h,7,triphone-dev-clean,within,within,cosine,0.02,0.0344075970351696
hubert_ctc100h,7,triphone-dev-other,across,within,cosine,0.02,0.0632861629128456
hubert_ctc100h,7,triphone-dev-other,within,within,cosine,0.02,0.044205617159605
hubert_ctc100h,8,phoneme-dev-clean,across,any,cosine,0.02,0.0821626782417297
hubert_ctc100h,8,phoneme-dev-clean,across,within,cosine,0.02,0.0227704402059316
hubert_ctc100h,8,phoneme-dev-clean,within,any,cosine,0.02,0.08012555539608
hubert_ctc100h,8,phoneme-dev-clean,within,within,cosine,0.02,0.0185707211494445
hubert_ctc100h,8,phoneme-dev-other,across,any,cosine,0.02,0.1050132066011428
hubert_ctc100h,8,phoneme-dev-other,across,within,cosine,0.02,0.05015429854393
hubert_ctc100h,8,phoneme-dev-other,within,any,cosine,0.02,0.0980729535222053
